created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2022-11-28T14:13:53+00:00,1702,3467,4057,2333,,,,,
2022-11-28T14:14:00+00:00,1703,3483,4052,2284,,,,,
2022-11-28T14:14:06+00:00,1704,3469,4106,2280,,,,,
2022-11-28T14:14:13+00:00,1705,3474,4037,2289,,,,,
2022-11-28T14:14:19+00:00,1706,3474,4074,2304,,,,,
2022-11-28T14:14:26+00:00,1707,1889,4051,2299,,,,,
2022-11-28T14:14:32+00:00,1708,3483,4046,2282,,,,,
2022-11-28T14:14:39+00:00,1709,3517,4074,2279,,,,,
2022-11-28T14:14:45+00:00,1710,3463,4086,2274,,,,,
2022-11-28T14:14:52+00:00,1711,3505,4038,2281,,,,,
2022-11-28T14:14:58+00:00,1712,5032,4152,2284,,,,,
2022-11-28T14:15:05+00:00,1713,5074,4050,4940,,,,,
2022-11-28T14:15:12+00:00,1714,5004,4118,4918,,,,,
2022-11-28T14:15:18+00:00,1715,5128,4056,4987,,,,,
2022-11-28T14:15:24+00:00,1716,3473,4109,4997,,,,,
2022-11-28T14:15:31+00:00,1717,5085,4038,4923,,,,,
2022-11-28T14:15:37+00:00,1718,5011,4046,4922,,,,,
2022-11-28T14:15:44+00:00,1719,5018,4064,4903,,,,,
2022-11-28T14:15:50+00:00,1720,3478,4133,4950,,,,,
2022-11-28T14:15:57+00:00,1721,3488,4073,5005,,,,,
2022-11-28T14:16:03+00:00,1722,5052,4111,5008,,,,,
2022-11-28T14:16:10+00:00,1723,5017,4151,4950,,,,,
2022-11-28T14:16:16+00:00,1724,3473,4037,4918,,,,,
2022-11-28T14:16:23+00:00,1725,3322,4035,4919,,,,,
2022-11-28T14:16:29+00:00,1726,4959,4054,4906,,,,,
2022-11-28T14:16:36+00:00,1727,4943,4042,4887,,,,,
2022-11-28T14:17:08+00:00,1728,5004,924,4948,,,,,
2022-11-28T14:17:14+00:00,1729,3305,920,4893,,,,,
2022-11-28T14:17:20+00:00,1730,3336,924,4919,,,,,
2022-11-28T14:17:27+00:00,1731,4939,919,4874,,,,,
2022-11-28T14:17:33+00:00,1732,4931,938,4884,,,,,
2022-11-28T14:17:40+00:00,1733,4958,926,4946,,,,,
2022-11-28T14:17:46+00:00,1734,3344,935,4883,,,,,
2022-11-28T14:17:53+00:00,1735,3310,925,2279,,,,,
2022-11-28T14:17:59+00:00,1736,7372,919,2265,,,,,
2022-11-28T14:18:06+00:00,1737,7291,926,2230,,,,,
2022-11-28T14:18:12+00:00,1738,7300,916,2234,,,,,
2022-11-28T14:18:19+00:00,1739,5464,938,2284,,,,,
2022-11-28T14:18:45+00:00,1740,5466,923,2273,,,,,
2022-11-28T14:18:51+00:00,1741,5472,918,2275,,,,,
2022-11-28T14:18:57+00:00,1742,7350,919,2258,,,,,
2022-11-28T14:19:04+00:00,1743,7327,924,2278,,,,,
2022-11-28T14:19:10+00:00,1744,7332,930,2271,,,,,
2022-11-28T14:19:17+00:00,1745,5465,923,2250,,,,,
2022-11-28T14:19:23+00:00,1746,5476,933,2266,,,,,
2022-11-28T14:19:30+00:00,1747,7389,927,2268,,,,,
2022-11-28T14:19:36+00:00,1748,7341,915,2255,,,,,
2022-11-28T14:19:43+00:00,1749,7378,925,2275,,,,,
2022-11-28T14:19:49+00:00,1750,5484,915,2285,,,,,
2022-11-28T14:19:55+00:00,1751,5482,924,2276,,,,,
2022-11-28T14:20:02+00:00,1752,7335,914,2255,,,,,
2022-11-28T14:20:08+00:00,1753,4935,925,2258,,,,,
2022-11-28T14:20:15+00:00,1754,3360,924,2269,,,,,
2022-11-28T14:20:21+00:00,1755,3364,923,2273,,,,,
2022-11-28T14:20:28+00:00,1756,4960,930,2284,,,,,
2022-11-28T14:20:34+00:00,1757,4976,924,2309,,,,,
2022-11-28T14:20:41+00:00,1758,5005,920,2245,,,,,
2022-11-28T14:20:47+00:00,1759,3366,918,2270,,,,,
2022-11-28T14:20:53+00:00,1760,3357,926,2273,,,,,
2022-11-28T14:21:00+00:00,1761,4964,916,2288,,,,,
2022-11-28T14:21:06+00:00,1762,4948,919,2290,,,,,
2022-11-28T14:21:13+00:00,1763,4949,931,2274,,,,,
2022-11-28T14:21:19+00:00,1764,4418,925,2271,,,,,
2022-11-28T14:21:26+00:00,1765,3399,918,2273,,,,,
2022-11-28T14:21:32+00:00,1766,4946,923,2276,,,,,
2022-11-28T14:21:39+00:00,1767,4988,923,2243,,,,,
2022-11-28T14:21:45+00:00,1768,3355,931,2280,,,,,
2022-11-28T14:21:52+00:00,1769,3342,924,2266,,,,,
2022-11-28T14:21:58+00:00,1770,4972,916,2247,,,,,
2022-11-28T14:22:05+00:00,1771,4957,922,2238,,,,,
2022-11-28T14:22:11+00:00,1772,4960,933,2294,,,,,
2022-11-28T14:22:18+00:00,1773,4990,928,2265,,,,,
2022-11-28T14:22:24+00:00,1774,4930,929,2276,,,,,
2022-11-28T14:22:31+00:00,1775,4926,931,2261,,,,,
2022-11-28T14:22:37+00:00,1776,4940,935,2273,,,,,
2022-11-28T14:22:44+00:00,1777,4932,936,2273,,,,,
2022-11-28T14:22:50+00:00,1778,3306,937,2264,,,,,
2022-11-28T14:22:57+00:00,1779,4936,936,2252,,,,,
2022-11-28T14:23:03+00:00,1780,4966,931,2255,,,,,
2022-11-28T14:23:10+00:00,1781,4942,933,2270,,,,,
2022-11-28T14:23:16+00:00,1782,3302,928,2269,,,,,
2022-11-28T14:23:23+00:00,1783,3323,919,2277,,,,,
2022-11-28T14:23:29+00:00,1784,4942,918,2293,,,,,
2022-11-28T14:23:36+00:00,1785,4937,915,2293,,,,,
2022-11-28T14:23:42+00:00,1786,5026,927,2264,,,,,
2022-11-28T14:23:49+00:00,1787,3516,922,2263,,,,,
2022-11-28T14:23:55+00:00,1788,3494,926,2271,,,,,
2022-11-28T14:24:02+00:00,1789,3579,942,2267,,,,,
2022-11-28T14:24:21+00:00,1790,3479,920,2258,,,,,
2022-11-28T14:24:28+00:00,1791,3489,928,2256,,,,,
2022-11-28T14:24:34+00:00,1792,5021,926,2264,,,,,
2022-11-28T14:24:41+00:00,1793,3492,920,2267,,,,,
2022-11-28T14:24:47+00:00,1794,3480,915,2274,,,,,
2022-11-28T14:24:53+00:00,1795,3488,919,2259,,,,,
2022-11-28T14:25:00+00:00,1796,5015,925,2265,,,,,
2022-11-28T14:25:06+00:00,1797,5036,921,2279,,,,,
2022-11-28T14:25:13+00:00,1798,5013,910,2262,,,,,
2022-11-28T14:25:19+00:00,1799,3464,917,2254,,,,,
2022-11-28T14:25:25+00:00,1800,3479,916,2277,,,,,
2022-11-28T14:25:32+00:00,1801,5045,916,2276,,,,,
2022-11-28T14:25:38+00:00,1802,5004,914,2270,,,,,
2022-11-28T14:25:45+00:00,1803,5026,916,2258,,,,,
2022-11-28T14:25:51+00:00,1804,3462,910,2266,,,,,
2022-11-28T14:25:58+00:00,1805,5047,910,2248,,,,,
2022-11-28T14:26:04+00:00,1806,5038,921,2297,,,,,
2022-11-28T14:26:11+00:00,1807,3474,915,2269,,,,,
2022-11-28T14:26:17+00:00,1808,4500,912,2276,,,,,
2022-11-28T14:26:24+00:00,1809,3721,913,2271,,,,,
2022-11-28T14:26:30+00:00,1810,5187,915,2283,,,,,
2022-11-28T14:26:37+00:00,1811,5167,924,2252,,,,,
2022-11-28T14:26:43+00:00,1812,5077,931,2285,,,,,
2022-11-28T14:26:49+00:00,1813,3676,924,2297,,,,,
2022-11-28T14:26:56+00:00,1814,3748,3229,2338,,,,,
2022-11-28T14:27:02+00:00,1815,5153,3254,2336,,,,,
2022-11-28T14:27:09+00:00,1816,5095,3250,2297,,,,,
2022-11-28T14:27:15+00:00,1817,5085,3296,2305,,,,,
2022-11-28T14:27:22+00:00,1818,3695,3274,2308,,,,,
2022-11-28T14:27:28+00:00,1819,5074,3223,2297,,,,,
2022-11-28T14:27:41+00:00,1820,5119,3240,2336,,,,,
2022-11-28T14:27:47+00:00,1821,3709,3242,2338,,,,,
2022-11-28T14:27:54+00:00,1822,3694,3221,2300,,,,,
2022-11-28T14:28:00+00:00,1823,5186,3177,2291,,,,,
2022-11-28T14:28:07+00:00,1824,5187,3203,2327,,,,,
2022-11-28T14:28:13+00:00,1825,3748,3215,2301,,,,,
2022-11-28T14:28:20+00:00,1826,3690,3251,2306,,,,,
2022-11-28T14:28:32+00:00,1827,5138,3278,2267,,,,,
2022-11-28T14:28:39+00:00,1828,5220,3202,2280,,,,,
2022-11-28T14:28:45+00:00,1829,3720,3205,2280,,,,,
2022-11-28T14:28:52+00:00,1830,1912,912,2280,,,,,
2022-11-28T14:28:58+00:00,1831,3536,915,2293,,,,,
2022-11-28T14:29:05+00:00,1832,3495,912,2282,,,,,
2022-11-28T14:29:11+00:00,1833,3501,926,2288,,,,,
2022-11-28T14:29:30+00:00,1834,3515,922,2262,,,,,
2022-11-28T14:29:37+00:00,1835,3480,916,2253,,,,,
2022-11-28T14:29:43+00:00,1836,3503,918,2258,,,,,
2022-11-28T14:29:50+00:00,1837,3489,917,2253,,,,,
2022-11-28T14:29:56+00:00,1838,3509,914,2265,,,,,
2022-11-28T14:30:03+00:00,1839,3569,940,2264,,,,,
2022-11-28T14:30:09+00:00,1840,3495,928,2252,,,,,
2022-11-28T14:30:15+00:00,1841,3501,917,2265,,,,,
2022-11-28T14:30:22+00:00,1842,3481,920,2257,,,,,
2022-11-28T14:30:28+00:00,1843,3493,930,2247,,,,,
2022-11-28T14:30:35+00:00,1844,5053,920,2300,,,,,
2022-11-28T14:30:41+00:00,1845,5024,930,2291,,,,,
2022-11-28T14:30:48+00:00,1846,3491,910,2248,,,,,
2022-11-28T14:31:01+00:00,1847,3491,910,2250,,,,,
2022-11-28T14:31:07+00:00,1848,5028,922,2291,,,,,
2022-11-28T14:31:13+00:00,1849,5033,909,2247,,,,,
2022-11-28T14:31:20+00:00,1850,5031,914,2248,,,,,
2022-11-28T14:31:26+00:00,1851,5024,923,2291,,,,,
2022-11-28T14:31:33+00:00,1852,3463,913,2252,,,,,
2022-11-28T14:31:39+00:00,1853,5024,922,2242,,,,,
2022-11-28T14:31:45+00:00,1854,5035,915,2257,,,,,
2022-11-28T14:31:52+00:00,1855,3470,906,2260,,,,,
2022-11-28T14:31:58+00:00,1856,3475,918,2263,,,,,
2022-11-28T14:32:18+00:00,1857,5028,911,2263,,,,,
2022-11-28T14:32:24+00:00,1858,5014,906,2240,,,,,
2022-11-28T14:32:31+00:00,1859,3470,903,2249,,,,,
2022-11-28T14:32:37+00:00,1860,5023,907,2286,,,,,
2022-11-28T14:32:43+00:00,1861,5005,900,2287,,,,,
2022-11-28T14:32:50+00:00,1862,5009,899,2222,,,,,
2022-11-28T14:32:56+00:00,1863,5004,914,2283,,,,,
2022-11-28T14:33:03+00:00,1864,3473,915,2259,,,,,
2022-11-28T14:33:09+00:00,1865,5002,900,2284,,,,,
2022-11-28T14:33:16+00:00,1866,5014,901,2234,,,,,
2022-11-28T14:33:22+00:00,1867,5001,899,2282,,,,,
2022-11-28T14:33:29+00:00,1868,5004,903,2291,,,,,
2022-11-28T14:33:35+00:00,1869,5044,902,2299,,,,,
2022-11-28T14:33:42+00:00,1870,4999,896,2277,,,,,
2022-11-28T14:33:48+00:00,1871,3447,910,2240,,,,,
2022-11-28T14:33:55+00:00,1872,3456,903,2276,,,,,
2022-11-28T14:34:08+00:00,1873,4992,896,2288,,,,,
2022-11-28T14:34:14+00:00,1874,4993,895,2298,,,,,
2022-11-28T14:34:21+00:00,1875,5056,901,2247,,,,,
2022-11-28T14:34:27+00:00,1876,5019,908,2271,,,,,
2022-11-28T14:34:33+00:00,1877,5012,899,2256,,,,,
2022-11-28T14:34:40+00:00,1878,5035,903,2301,,,,,
2022-11-28T14:34:46+00:00,1879,5006,899,2258,,,,,
2022-11-28T14:34:53+00:00,1880,5054,3851,2281,,,,,
2022-11-28T14:34:59+00:00,1881,5108,3874,2288,,,,,
2022-11-28T14:35:18+00:00,1882,5064,3868,2291,,,,,
2022-11-28T14:35:25+00:00,1883,4979,3864,2282,,,,,
2022-11-28T14:35:31+00:00,1884,3430,3876,2256,,,,,
2022-11-28T14:35:38+00:00,1885,4977,3853,2275,,,,,
2022-11-28T14:35:44+00:00,1886,5058,3851,2284,,,,,
2022-11-28T14:35:51+00:00,1887,5040,3902,2330,,,,,
2022-11-28T14:35:57+00:00,1888,4977,3946,2291,,,,,
2022-11-28T14:36:04+00:00,1889,4972,3967,2282,,,,,
2022-11-28T14:36:10+00:00,1890,5058,3872,2330,,,,,
2022-11-28T14:36:17+00:00,1891,4923,3932,2294,,,,,
2022-11-28T14:36:23+00:00,1892,4908,892,2285,,,,,
2022-11-28T14:36:30+00:00,1893,4916,893,2295,,,,,
2022-11-28T14:36:36+00:00,1894,4942,896,2300,,,,,
2022-11-28T14:36:42+00:00,1895,4944,891,2298,,,,,
2022-11-28T14:36:49+00:00,1896,4900,903,2259,,,,,
2022-11-28T14:36:55+00:00,1897,4900,904,2272,,,,,
2022-11-28T14:37:02+00:00,1898,4946,894,2290,,,,,
2022-11-28T14:37:08+00:00,1899,4955,895,2289,,,,,
2022-11-28T14:37:21+00:00,1900,4928,892,2245,,,,,
2022-11-28T14:37:27+00:00,1901,4939,892,2248,,,,,
2022-11-28T14:37:34+00:00,1902,4918,900,2282,,,,,
2022-11-28T14:37:40+00:00,1903,4929,909,2266,,,,,
2022-11-28T14:37:47+00:00,1904,4934,905,2254,,,,,
2022-11-28T14:37:53+00:00,1905,4933,893,2266,,,,,
2022-11-28T14:38:00+00:00,1906,4941,894,2276,,,,,
2022-11-28T14:38:06+00:00,1907,4940,903,2275,,,,,
2022-11-28T14:38:12+00:00,1908,4975,894,2261,,,,,
2022-11-28T14:38:19+00:00,1909,4952,899,2250,,,,,
2022-11-28T14:38:25+00:00,1910,4921,910,2257,,,,,
2022-11-28T14:38:32+00:00,1911,4918,907,2266,,,,,
2022-11-28T14:38:38+00:00,1912,4909,897,2280,,,,,
2022-11-28T14:38:58+00:00,1913,4933,904,2259,,,,,
2022-11-28T14:39:04+00:00,1914,4901,897,2282,,,,,
2022-11-28T14:39:11+00:00,1915,4911,909,2263,,,,,
2022-11-28T14:39:17+00:00,1916,4903,894,2270,,,,,
2022-11-28T14:39:24+00:00,1917,4930,902,2239,,,,,
2022-11-28T14:39:30+00:00,1918,4910,902,2279,,,,,
2022-11-28T14:39:36+00:00,1919,4916,894,2271,,,,,
2022-11-28T14:39:43+00:00,1920,4921,906,2260,,,,,
2022-11-28T14:39:49+00:00,1921,4915,905,2266,,,,,
2022-11-28T14:39:56+00:00,1922,4906,905,2283,,,,,
2022-11-28T14:40:09+00:00,1923,4910,916,2278,,,,,
2022-11-28T14:40:15+00:00,1924,4659,914,2292,,,,,
2022-11-28T14:40:28+00:00,1925,4915,945,2275,,,,,
2022-11-28T14:40:35+00:00,1926,4910,937,2281,,,,,
2022-11-28T14:40:41+00:00,1927,3247,914,2284,,,,,
2022-11-28T14:40:48+00:00,1928,3286,915,2277,,,,,
2022-11-28T14:40:54+00:00,1929,3251,919,2276,,,,,
2022-11-28T14:41:00+00:00,1930,4941,925,2293,,,,,
2022-11-28T14:41:07+00:00,1931,4923,926,2309,,,,,
2022-11-28T14:41:13+00:00,1932,3225,927,2290,,,,,
2022-11-28T14:41:20+00:00,1933,3220,921,2289,,,,,
2022-11-28T14:41:39+00:00,1934,3232,934,2286,,,,,
2022-11-28T14:41:45+00:00,1935,3237,935,2276,,,,,
2022-11-28T14:41:51+00:00,1936,3253,921,2284,,,,,
2022-11-28T14:41:58+00:00,1937,4916,924,2260,,,,,
2022-11-28T14:42:04+00:00,1938,4953,921,2283,,,,,
2022-11-28T14:42:11+00:00,1939,3234,924,2273,,,,,
2022-11-28T14:42:17+00:00,1940,3218,931,2252,,,,,
2022-11-28T14:42:24+00:00,1941,3248,930,2253,,,,,
2022-11-28T14:42:30+00:00,1942,4906,928,2258,,,,,
2022-11-28T14:42:37+00:00,1943,4912,932,2264,,,,,
2022-11-28T14:42:43+00:00,1944,3241,931,2269,,,,,
2022-11-28T14:42:50+00:00,1945,3228,923,2256,,,,,
2022-11-28T14:42:56+00:00,1946,3219,924,2270,,,,,
2022-11-28T14:43:02+00:00,1947,4913,933,2258,,,,,
2022-11-28T14:43:09+00:00,1948,4919,918,2261,,,,,
2022-11-28T14:43:15+00:00,1949,3248,917,2271,,,,,
2022-11-28T14:43:28+00:00,1950,4940,918,2251,,,,,
2022-11-28T14:43:35+00:00,1951,3210,917,2271,,,,,
2022-11-28T14:43:41+00:00,1952,3213,923,2285,,,,,
2022-11-28T14:43:47+00:00,1953,3236,921,2262,,,,,
2022-11-28T14:43:54+00:00,1954,3404,914,2281,,,,,
2022-11-28T14:44:00+00:00,1955,5033,916,3419,,,,,
2022-11-28T14:44:20+00:00,1956,3460,4075,2329,,,,,
2022-11-28T14:44:26+00:00,1957,3503,3933,2350,,,,,
2022-11-28T14:44:33+00:00,1958,5098,3997,2350,,,,,
2022-11-28T14:44:39+00:00,1959,4997,4081,2325,,,,,
2022-11-28T14:44:46+00:00,1960,3460,3980,2331,,,,,
2022-11-28T14:45:05+00:00,1961,5567,3993,2323,,,,,
2022-11-28T14:45:11+00:00,1962,5559,4019,2326,,,,,
2022-11-28T14:45:18+00:00,1963,4058,3961,2325,,,,,
2022-11-28T14:45:24+00:00,1964,4023,3996,2310,,,,,
2022-11-28T14:45:31+00:00,1965,4071,4004,2337,,,,,
2022-11-28T14:45:37+00:00,1966,3977,4079,2313,,,,,
2022-11-28T14:45:44+00:00,1967,3962,3972,2319,,,,,
2022-11-28T14:45:50+00:00,1968,3977,4053,2331,,,,,
2022-11-28T14:45:57+00:00,1969,4507,4073,2376,,,,,
2022-11-28T14:46:03+00:00,1970,5722,3992,2319,,,,,
2022-11-28T14:46:09+00:00,1971,4248,4005,2310,,,,,
2022-11-28T14:46:22+00:00,1972,3866,4011,2332,,,,,
2022-11-28T14:46:29+00:00,1973,5362,4052,2337,,,,,
2022-11-28T14:46:35+00:00,1974,3857,3993,2328,,,,,
2022-11-28T14:46:42+00:00,1975,3807,3972,2327,,,,,
2022-11-28T14:46:48+00:00,1976,3810,4006,2322,,,,,
2022-11-28T14:46:55+00:00,1977,3825,3972,2330,,,,,
2022-11-28T14:47:07+00:00,1978,4411,3964,2327,,,,,
2022-11-28T14:47:14+00:00,1979,4416,3968,2325,,,,,
2022-11-28T14:47:20+00:00,1980,4438,4024,2323,,,,,
2022-11-28T14:47:27+00:00,1981,5530,3993,2363,,,,,
2022-11-28T14:47:33+00:00,1982,5838,4031,2310,,,,,
2022-11-29T15:27:45+00:00,1983,5994,4726,250,,,,,
2022-11-29T15:27:48+00:00,1984,4467,4735,232,,,,,
2022-11-29T15:27:55+00:00,1985,4462,4720,218,,,,,
2022-11-29T15:28:00+00:00,1986,4473,4877,218,,,,,
2022-11-29T15:28:07+00:00,1987,5973,4967,232,,,,,
2022-11-29T15:28:13+00:00,1988,6007,4968,213,,,,,
2022-11-29T15:28:20+00:00,1989,4268,4967,216,,,,,
2022-11-29T15:28:26+00:00,1990,4277,4974,196,,,,,
2022-11-29T15:28:33+00:00,1991,3599,4930,197,,,,,
