$A,2022-09-07 11:49,E8DB84DF97A9,3.58
$B,ESP_node_OTA_v6_4_12_13.ino  15:34:49  Jun 11 2022
YYYY-MM-DD hh:mm,Temp,Humid
$C,ESP_node_OTA_v2.ino  19:43:10  Apr 26 2022
2022-06-06 06:00,2147483647,2147483647
2022-06-06 06:05,2147483647,2147483647
2022-06-06 06:10,2147483647,2147483647
2022-06-06 06:15,2147483647,2147483647
2022-06-06 06:20,2147483647,2147483647
2022-06-06 06:25,2147483647,2147483647
2022-06-06 06:30,2147483647,2147483647
2022-06-06 06:35,2147483647,2147483647
2022-06-06 06:40,2147483647,2147483647
2022-06-06 06:45,2147483647,2147483647
2022-06-06 06:50,2147483647,2147483647
2022-06-06 06:55,2147483647,2147483647
2022-06-06 07:00,2147483647,2147483647
2022-06-06 07:05,2147483647,2147483647
2022-06-06 07:10,2147483647,2147483647
2022-06-06 07:15,2147483647,2147483647
2022-06-06 07:20,2147483647,2147483647
2022-06-06 07:25,2147483647,2147483647
2022-06-06 07:30,2147483647,2147483647
2022-06-06 07:35,2147483647,2147483647
2022-06-06 07:40,2147483647,2147483647
2022-06-06 07:45,2147483647,2147483647
2022-06-06 07:50,2147483647,2147483647
2022-06-06 07:55,2147483647,2147483647
2022-06-06 08:00,2147483647,2147483647
2022-06-06 08:05,2147483647,2147483647
2022-06-06 08:10,2147483647,2147483647
2022-06-06 08:15,2147483647,2147483647
2022-06-06 08:20,2147483647,2147483647
2022-06-06 08:25,2147483647,2147483647
2022-06-06 08:30,2147483647,2147483647
2022-06-06 08:35,2147483647,2147483647
2022-06-06 08:40,2147483647,2147483647
2022-06-06 08:45,2147483647,2147483647
2022-06-06 08:50,2147483647,2147483647
2022-06-06 08:55,2147483647,2147483647
2022-06-06 09:00,2147483647,2147483647
2022-06-06 09:05,2147483647,2147483647
2022-06-06 09:10,2147483647,2147483647
2022-06-06 09:15,2147483647,2147483647
2022-06-06 09:20,2147483647,2147483647
2022-06-06 09:25,2147483647,2147483647
2022-06-06 09:30,2147483647,2147483647
2022-06-06 09:35,2147483647,2147483647
2022-06-06 09:40,2147483647,2147483647
2022-06-06 09:45,2147483647,2147483647
2022-06-06 09:50,2147483647,2147483647
2022-06-06 09:55,2147483647,2147483647
2022-06-06 10:00,2147483647,2147483647
2022-06-06 10:05,2147483647,2147483647
2022-06-06 10:10,2147483647,2147483647
2022-06-06 10:15,2147483647,2147483647
2022-06-06 10:20,2147483647,2147483647
2022-06-06 10:25,2147483647,2147483647
2022-06-06 10:30,2147483647,2147483647
2022-06-06 10:35,2147483647,2147483647
2022-06-06 10:40,2147483647,2147483647
2022-06-06 10:45,2147483647,2147483647
2022-06-06 10:50,2147483647,2147483647
2022-06-06 10:55,2147483647,2147483647
2022-06-06 11:00,2147483647,2147483647
2022-06-06 11:05,2147483647,2147483647
2022-06-06 11:10,2147483647,2147483647
2022-06-06 11:15,2147483647,2147483647
2022-06-06 11:20,2147483647,2147483647
2022-06-06 11:25,2147483647,2147483647
2022-06-06 11:30,2147483647,2147483647
2022-06-06 11:35,2147483647,2147483647
2022-06-06 11:40,2147483647,2147483647
2022-06-06 11:45,2147483647,2147483647
2022-06-06 11:50,2147483647,2147483647
2022-06-06 11:55,2147483647,2147483647
2022-06-06 12:00,2147483647,2147483647
2022-06-06 12:05,2147483647,2147483647
2022-06-06 12:10,2147483647,2147483647
2022-06-06 12:15,2147483647,2147483647
2022-06-06 12:20,2147483647,2147483647
2022-06-06 12:25,2147483647,2147483647
2022-06-06 12:30,2147483647,2147483647
2022-06-06 12:35,2147483647,2147483647
2022-06-06 12:40,2147483647,2147483647
2022-06-06 12:45,2147483647,2147483647
2022-06-06 12:50,2147483647,2147483647
2022-06-06 12:55,2147483647,2147483647
2022-06-06 13:00,2147483647,2147483647
2022-06-06 13:05,2147483647,2147483647
2022-06-06 13:10,2147483647,2147483647
2022-06-06 13:15,2147483647,2147483647
2022-06-06 13:20,2147483647,2147483647
2022-06-06 13:25,2147483647,2147483647
2022-06-06 13:30,2147483647,2147483647
2022-06-06 13:35,2147483647,2147483647
2022-06-06 13:40,2147483647,2147483647
2022-06-06 13:45,2147483647,2147483647
2022-06-06 13:50,2147483647,2147483647
2022-06-06 13:55,2147483647,2147483647
2022-06-06 14:00,2147483647,2147483647
2022-06-06 14:05,2147483647,2147483647
2022-06-06 14:10,2147483647,2147483647
2022-06-06 14:15,2147483647,2147483647
2022-06-06 14:20,2147483647,2147483647
2022-06-06 14:25,2147483647,2147483647
2022-06-06 14:30,2147483647,2147483647
2022-06-06 14:35,2147483647,2147483647
2022-06-06 14:40,2147483647,2147483647
2022-06-06 14:45,2147483647,2147483647
2022-06-06 14:50,2147483647,2147483647
2022-06-06 14:55,2147483647,2147483647
2022-06-06 15:00,2147483647,2147483647
2022-06-06 15:05,2147483647,2147483647
2022-06-06 15:10,2147483647,2147483647
2022-06-06 15:15,2147483647,2147483647
2022-06-06 15:20,2147483647,2147483647
2022-06-06 15:25,2147483647,2147483647
2022-06-06 15:30,2147483647,2147483647
2022-06-06 15:35,2147483647,2147483647
2022-06-06 15:40,2147483647,2147483647
2022-06-06 15:45,2147483647,2147483647
2022-06-06 15:50,2147483647,2147483647
2022-06-06 15:55,2147483647,2147483647
2022-06-06 16:00,2147483647,2147483647
2022-06-06 16:05,2147483647,2147483647
2022-06-06 16:10,2147483647,2147483647
2022-06-06 16:15,2147483647,2147483647
2022-06-06 16:20,2147483647,2147483647
2022-06-06 16:25,2147483647,2147483647
2022-06-06 16:30,2147483647,2147483647
2022-06-06 16:35,2147483647,2147483647
2022-06-06 16:40,2147483647,2147483647
2022-06-06 16:45,2147483647,2147483647
2022-06-06 16:50,2147483647,2147483647
2022-06-06 16:55,2147483647,2147483647
2022-06-06 17:00,2147483647,2147483647
2022-06-06 17:05,2147483647,2147483647
2022-06-06 17:10,2147483647,2147483647
2022-06-06 17:15,2147483647,2147483647
2022-06-06 17:20,2147483647,2147483647
2022-06-06 17:25,2147483647,2147483647
2022-06-06 17:30,2147483647,2147483647
2022-06-06 17:35,2147483647,2147483647
2022-06-06 17:40,2147483647,2147483647
2022-06-06 17:45,2147483647,2147483647
2022-06-06 17:50,2147483647,2147483647
2022-06-06 17:55,2147483647,2147483647
2022-06-06 18:00,2147483647,2147483647
2022-06-06 18:05,2147483647,2147483647
2022-06-06 18:10,2147483647,2147483647
2022-06-06 18:15,2147483647,2147483647
2022-06-06 18:20,2147483647,2147483647
2022-06-06 18:25,2147483647,2147483647
2022-06-06 18:30,2147483647,2147483647
2022-06-06 18:35,2147483647,2147483647
2022-06-06 18:40,2147483647,2147483647
2022-06-06 18:45,2147483647,2147483647
2022-06-06 18:50,2147483647,2147483647
2022-06-06 18:55,2147483647,2147483647
2022-06-06 19:00,2147483647,2147483647
2022-06-06 19:05,2147483647,2147483647
2022-06-06 19:10,2147483647,2147483647
2022-06-06 19:15,2147483647,2147483647
2022-06-06 19:20,2147483647,2147483647
2022-06-06 19:25,2147483647,2147483647
2022-06-06 19:30,2147483647,2147483647
2022-06-06 19:35,2147483647,2147483647
2022-06-06 19:40,2147483647,2147483647
2022-06-06 19:45,2147483647,2147483647
2022-06-06 19:50,2147483647,2147483647
2022-06-06 19:55,2147483647,2147483647
$C,000000,5,wills room
$D,Memory,DHT22,Continue
YYYY-MM-DD hh:mm,Temp,Humid
000000,2147483647,2147483647
000005,2147483647,2147483647
000010,2147483647,2147483647
000015,2147483647,2147483647
000020,2147483647,2147483647
000025,2147483647,2147483647
000030,2147483647,2147483647
000035,2147483647,2147483647
000040,2147483647,2147483647
000045,2147483647,2147483647
000050,2147483647,2147483647
000055,2147483647,2147483647
000060,2147483647,2147483647
000065,2147483647,2147483647
000070,2147483647,2147483647
000075,2147483647,2147483647
000080,2147483647,2147483647
000085,2147483647,2147483647
000090,2147483647,2147483647
000095,2147483647,2147483647
000100,2147483647,2147483647
000105,2147483647,2147483647
000110,2147483647,2147483647
000115,2147483647,2147483647
$C,2022-06-11 17:35,5,wills room
$D,Memory,DHT22,Continue
YYYY-MM-DD hh:mm,Temp,Humid
2022-06-11 17:35,2147483647,2147483647
$C,2022-06-14 20:04,5,wills room
$D,Memory,DHT22,Continue
