timestamp,temperature,rh
2023-08-23T23:27:45Z,22,64
2023-08-23T23:32:45Z,22,64
2023-08-23T23:37:45Z,22,64
2023-08-23T23:42:44Z,22,64
2023-08-23T23:47:44Z,22,64
2023-08-23T23:52:44Z,22,63
2023-08-23T23:57:43Z,22,63
2023-08-24T00:02:43Z,22,63
2023-08-24T00:07:43Z,22,63
2023-08-24T00:12:42Z,22,63
2023-08-24T00:17:42Z,22,63
2023-08-24T00:22:41Z,22,63
2023-08-24T00:27:41Z,22,63
2023-08-24T00:32:41Z,22,63
2023-08-24T00:37:40Z,22,63
2023-08-24T00:42:40Z,22,63
2023-08-24T00:47:40Z,22,63
2023-08-24T00:52:39Z,22,63
2023-08-24T00:57:39Z,22,63
2023-08-24T01:02:39Z,22,63
2023-08-24T01:07:38Z,22,63
2023-08-24T01:12:38Z,22,63
2023-08-24T01:17:38Z,22,63
2023-08-24T01:22:38Z,22,63
2023-08-24T01:27:37Z,22,62
2023-08-24T01:32:37Z,22,62
2023-08-24T01:37:36Z,22,62
2023-08-24T01:42:36Z,22,62
2023-08-24T01:47:36Z,22,62
2023-08-24T01:52:36Z,22,62
2023-08-24T01:57:35Z,22,62
2023-08-24T02:02:35Z,22,62
2023-08-24T02:07:35Z,22,62
2023-08-24T02:12:34Z,22,62
2023-08-24T02:17:34Z,22,62
2023-08-24T02:22:34Z,22,62
2023-08-24T02:27:33Z,22,62
2023-08-24T02:32:33Z,22,62
2023-08-24T02:37:33Z,22,62
2023-08-24T02:42:32Z,22,62
2023-08-24T02:47:32Z,22,62
2023-08-24T02:52:31Z,22,62
2023-08-24T02:57:31Z,22,62
2023-08-24T03:02:31Z,22,62
2023-08-24T03:07:31Z,22,62
2023-08-24T03:12:30Z,22,62
2023-08-24T03:17:30Z,22,62
2023-08-24T03:22:30Z,22,62
2023-08-24T03:32:29Z,22,62
2023-08-24T03:37:29Z,22,62
2023-08-24T03:42:28Z,22,62
2023-08-24T03:47:28Z,22,62
2023-08-24T03:52:28Z,22,62
2023-08-24T03:57:27Z,22,62
2023-08-24T04:02:27Z,22,62
2023-08-24T04:07:27Z,22,62
2023-08-24T04:12:26Z,22,62
2023-08-24T04:17:26Z,22,62
2023-08-24T04:22:26Z,22,62
2023-08-24T04:27:25Z,22,62
2023-08-24T04:32:25Z,22,62
2023-08-24T04:37:25Z,21,61
2023-08-24T04:42:24Z,22,62
2023-08-24T04:47:24Z,21,61
2023-08-24T04:52:24Z,21,61
2023-08-24T04:57:23Z,21,61
2023-08-24T05:02:23Z,21,61
2023-08-24T05:07:23Z,21,61
2023-08-24T05:12:22Z,21,61
2023-08-24T05:22:21Z,21,61
2023-08-24T05:27:21Z,21,61
2023-08-24T05:32:21Z,21,61
2023-08-24T05:37:20Z,21,61
2023-08-24T05:42:20Z,21,61
2023-08-24T05:47:20Z,21,61
2023-08-24T05:52:20Z,21,61
2023-08-24T05:57:19Z,21,61
2023-08-24T06:02:19Z,21,61
2023-08-24T06:07:19Z,21,61
2023-08-24T06:12:18Z,21,61
2023-08-24T06:17:18Z,21,61
2023-08-24T06:22:18Z,21,61
2023-08-24T06:27:18Z,21,61
2023-08-24T06:32:17Z,21,61
2023-08-24T06:37:17Z,21,61
2023-08-24T06:42:17Z,21,61
2023-08-24T06:47:16Z,21,61
2023-08-24T06:52:16Z,21,61
2023-08-24T06:57:16Z,21,61
2023-08-24T07:02:15Z,21,61
2023-08-24T07:07:15Z,21,61
2023-08-24T07:12:15Z,21,61
2023-08-24T07:17:14Z,21,61
2023-08-24T07:22:14Z,21,61
2023-08-24T07:27:14Z,21,61
2023-08-24T07:32:13Z,21,61
2023-08-24T07:37:13Z,21,61
2023-08-24T07:42:13Z,21,61
2023-08-24T07:47:13Z,21,61
2023-08-24T07:52:12Z,21,61
2023-08-24T07:57:12Z,21,61
2023-08-24T08:02:12Z,21,61
2023-08-24T08:07:12Z,21,61
2023-08-24T08:12:11Z,21,61
2023-08-24T08:17:11Z,21,61
2023-08-24T08:22:10Z,21,61
2023-08-24T08:27:10Z,21,61
2023-08-24T08:32:09Z,21,61
2023-08-24T08:37:09Z,21,61
2023-08-24T08:42:09Z,21,61
2023-08-24T08:47:09Z,21,61
2023-08-24T08:52:08Z,21,61
2023-08-24T08:57:08Z,21,61
2023-08-24T09:02:08Z,21,61
2023-08-24T09:07:07Z,21,61
2023-08-24T09:12:07Z,21,61
2023-08-24T09:17:06Z,21,61
2023-08-24T09:22:06Z,21,61
2023-08-24T09:27:06Z,21,61
2023-08-24T09:32:05Z,21,61
2023-08-24T09:37:05Z,21,61
2023-08-24T09:42:05Z,21,61
2023-08-24T09:47:04Z,21,61
2023-08-24T09:52:04Z,21,61
2023-08-24T09:57:04Z,21,61
2023-08-24T10:02:04Z,21,61
2023-08-24T10:07:03Z,21,61
2023-08-24T10:12:03Z,21,61
2023-08-24T10:17:03Z,21,61
2023-08-24T10:22:02Z,21,61
2023-08-24T10:27:02Z,21,61
2023-08-24T10:32:02Z,21,61
2023-08-24T10:37:02Z,21,61
2023-08-24T10:42:01Z,21,61
2023-08-24T10:47:01Z,21,61
2023-08-24T10:52:01Z,21,61
2023-08-24T10:57:01Z,21,61
2023-08-24T11:02:00Z,21,61
2023-08-24T11:07:00Z,21,61
2023-08-24T11:11:59Z,21,61
2023-08-24T11:16:59Z,21,61
2023-08-24T11:21:59Z,21,61
2023-08-24T11:26:58Z,21,61
2023-08-24T11:31:58Z,21,61
2023-08-24T11:36:58Z,21,61
