2023-02-07T17:00:00Z,18,60,07/02/2023 17:00,
2023-02-07T17:05:00Z,18,60,07/02/2023 17:05,
2023-02-07T17:10:00Z,18,61,07/02/2023 17:10,
2023-02-07T17:15:00Z,18,61,07/02/2023 17:15,
2023-02-07T17:20:00Z,18,61,07/02/2023 17:20,
2023-02-07T17:25:00Z,18,61,07/02/2023 17:25,
2023-02-07T17:30:00Z,18,61,07/02/2023 17:30,
2023-02-07T17:35:00Z,18,61,07/02/2023 17:35,
2023-02-07T17:40:00Z,18,61,07/02/2023 17:40,
2023-02-07T17:45:00Z,17,61,07/02/2023 17:45,
2023-02-07T17:50:00Z,17,61,07/02/2023 17:50,
2023-02-07T17:55:00Z,17,61,07/02/2023 17:55,
2023-02-07T18:00:00Z,17,61,07/02/2023 18:00,
2023-02-07T18:05:00Z,17,61,07/02/2023 18:05,
2023-02-07T18:10:00Z,17,61,07/02/2023 18:10,
2023-02-07T18:15:00Z,17,61,07/02/2023 18:15,
2023-02-07T18:20:00Z,17,61,07/02/2023 18:20,
2023-02-07T18:25:00Z,17,61,07/02/2023 18:25,
2023-02-07T18:30:00Z,17,61,07/02/2023 18:30,
2023-02-07T18:35:00Z,17,61,07/02/2023 18:35,
2023-02-07T18:40:00Z,17,61,07/02/2023 18:40,
2023-02-07T18:45:00Z,17,61,07/02/2023 18:45,
2023-02-07T18:50:00Z,17,61,07/02/2023 18:50,
2023-02-07T18:55:00Z,17,61,07/02/2023 18:55,
2023-02-07T19:00:00Z,17,61,07/02/2023 19:00,
2023-02-07T19:05:00Z,17,61,07/02/2023 19:05,
2023-02-07T19:10:00Z,16,61,07/02/2023 19:10,
2023-02-07T19:15:00Z,16,61,07/02/2023 19:15,
2023-02-07T19:20:00Z,16,61,07/02/2023 19:20,
2023-02-07T19:25:00Z,16,61,07/02/2023 19:25,
2023-02-07T19:30:00Z,16,61,07/02/2023 19:30,
2023-02-07T19:35:00Z,16,61,07/02/2023 19:35,
2023-02-07T19:40:00Z,16,61,07/02/2023 19:40,
2023-02-07T19:45:00Z,16,61,07/02/2023 19:45,
2023-02-07T19:50:00Z,16,61,07/02/2023 19:50,
2023-02-07T19:55:00Z,16,61,07/02/2023 19:55,
2023-02-07T20:00:00Z,16,61,07/02/2023 20:00,
2023-02-07T20:05:00Z,16,61,07/02/2023 20:05,
2023-02-07T20:10:00Z,16,61,07/02/2023 20:10,
2023-02-07T20:15:00Z,16,61,07/02/2023 20:15,
2023-02-07T20:20:00Z,16,61,07/02/2023 20:20,
2023-02-07T20:25:00Z,16,61,07/02/2023 20:25,
2023-02-07T20:30:00Z,16,61,07/02/2023 20:30,
2023-02-07T20:35:00Z,16,61,07/02/2023 20:35,
