timestamp,entry_id,temperature,rh,voltage,awake_time
2023-06-09T14:12:00Z,1,120,120,3.55,0
2023-06-09T14:16:37Z,2,120,120,3.55,3390
2023-06-09T14:21:27Z,3,120,120,3.56,344
2023-06-09T14:25:58Z,4,120,120,,
2023-06-09T14:30:58Z,5,120,120,,
2023-06-09T14:35:58Z,6,120,120,,
2023-06-09T14:40:58Z,7,120,120,,
2023-06-09T14:45:58Z,8,120,120,,
2023-06-09T14:50:58Z,9,120,120,,
2023-06-09T14:55:58Z,10,120,120,,
2023-06-09T15:00:58Z,11,120,120,,
2023-06-09T15:05:58Z,12,120,120,,
2023-06-09T15:10:58Z,13,120,120,,
2023-06-09T15:15:58Z,14,120,120,,
2023-06-09T15:20:58Z,15,120,120,3.55,536
2023-06-09T15:25:31Z,16,120,120,,
2023-06-09T15:30:31Z,17,120,120,,
2023-06-09T15:35:31Z,18,120,120,,
2023-06-09T15:40:31Z,19,120,120,,
2023-06-09T15:45:31Z,20,120,120,,
2023-06-09T15:50:31Z,21,120,120,,
2023-06-09T15:55:31Z,22,120,120,,
2023-06-09T16:00:31Z,23,120,120,,
2023-06-09T16:05:31Z,24,120,120,,
2023-06-09T16:10:31Z,25,120,120,,
2023-06-09T16:15:31Z,26,120,120,,
2023-06-09T16:20:31Z,27,120,120,3.56,29
2023-06-09T16:25:05Z,28,120,120,,
2023-06-09T16:30:05Z,29,120,120,,
2023-06-09T16:35:05Z,30,120,120,,
2023-06-09T16:40:05Z,31,120,120,,
2023-06-09T16:45:05Z,32,120,120,,
2023-06-09T16:50:05Z,33,120,120,,
2023-06-09T16:55:05Z,34,120,120,,
2023-06-09T17:00:05Z,35,120,120,,
2023-06-09T17:05:05Z,36,120,120,,
2023-06-09T17:10:05Z,37,120,120,,
2023-06-09T17:15:05Z,38,120,120,,
2023-06-09T17:20:05Z,39,120,120,3.56,29
2023-06-09T17:23:47Z,40,120,120,,
2023-06-09T17:28:47Z,41,120,120,,
2023-06-09T17:33:47Z,42,120,120,,
2023-06-09T17:38:47Z,43,120,120,,
2023-06-09T17:43:47Z,44,120,120,,
2023-06-09T17:48:47Z,45,120,120,,
2023-06-09T17:53:47Z,46,120,120,,
2023-06-09T17:58:47Z,47,120,120,,
2023-06-09T18:03:47Z,48,120,120,,
2023-06-09T18:08:47Z,49,120,120,,
2023-06-09T18:13:47Z,50,120,120,,
2023-06-09T18:18:47Z,51,120,120,,
2023-06-09T18:23:47Z,52,120,120,,
2023-06-09T18:28:47Z,53,120,120,,
2023-06-09T18:33:47Z,54,120,120,,
2023-06-09T18:38:47Z,55,120,120,,
2023-06-09T18:43:47Z,56,120,120,,
2023-06-09T18:48:47Z,57,120,120,,
2023-06-09T18:53:47Z,58,120,120,,
2023-06-09T18:58:47Z,59,120,120,,
2023-06-09T19:03:47Z,60,120,120,,
2023-06-09T19:08:47Z,61,120,120,,
2023-06-09T19:13:47Z,62,120,120,,
2023-06-09T19:18:47Z,63,120,120,,
2023-06-09T19:23:47Z,64,120,120,,
2023-06-09T19:28:47Z,65,120,120,,
2023-06-09T19:33:47Z,66,120,120,,
2023-06-09T19:38:47Z,67,120,120,,
2023-06-09T19:43:47Z,68,120,120,,
2023-06-09T19:48:47Z,69,120,120,,
2023-06-09T19:53:47Z,70,120,120,,
2023-06-09T19:58:47Z,71,120,120,,
2023-06-09T20:03:47Z,72,120,120,,
2023-06-09T20:08:47Z,73,120,120,,
2023-06-09T20:13:47Z,74,120,120,,
2023-06-09T20:18:47Z,75,120,120,,
2023-06-09T20:23:47Z,76,120,120,,
2023-06-09T20:28:47Z,77,120,120,,
2023-06-09T20:33:47Z,78,120,120,,
2023-06-09T20:38:47Z,79,120,120,,
2023-06-09T20:43:47Z,80,120,120,,
2023-06-09T20:48:47Z,81,120,120,,
2023-06-09T20:53:47Z,82,120,120,,
2023-06-09T20:58:47Z,83,120,120,,
2023-06-09T21:03:47Z,84,120,120,,
2023-06-09T21:08:47Z,85,120,120,,
2023-06-09T21:13:47Z,86,120,120,,
2023-06-09T21:18:47Z,87,120,120,,
2023-06-09T21:23:47Z,88,120,120,,
2023-06-09T21:28:47Z,89,120,120,,
2023-06-09T21:33:47Z,90,120,120,,
2023-06-09T21:38:47Z,91,120,120,,
2023-06-09T21:43:47Z,92,120,120,,
2023-06-09T21:48:47Z,93,120,120,,
2023-06-09T21:53:47Z,94,120,120,,
2023-06-09T21:58:47Z,95,120,120,,
2023-06-09T22:03:47Z,96,120,120,,
2023-06-09T22:08:47Z,97,120,120,,
2023-06-09T22:13:47Z,98,120,120,,
2023-06-09T22:18:47Z,99,120,120,,
2023-06-09T22:23:47Z,100,120,120,,
2023-06-09T22:28:47Z,101,120,120,,
2023-06-09T22:33:47Z,102,120,120,,
2023-06-09T22:38:47Z,103,120,120,,
2023-06-09T22:43:47Z,104,120,120,,
2023-06-09T22:48:47Z,105,120,120,,
2023-06-09T22:53:47Z,106,120,120,,
2023-06-09T22:58:47Z,107,120,120,,
2023-06-09T23:03:47Z,108,120,120,,
2023-06-09T23:08:47Z,109,120,120,,
2023-06-09T23:13:47Z,110,120,120,,
2023-06-09T23:18:47Z,111,120,120,3.56,29
2023-06-09T23:22:27Z,112,120,120,,
2023-06-09T23:27:27Z,113,120,120,,
2023-06-09T23:32:27Z,114,120,120,,
2023-06-09T23:37:27Z,115,120,120,,
2023-06-09T23:42:27Z,116,120,120,,
2023-06-09T23:47:27Z,117,120,120,,
2023-06-09T23:52:27Z,118,120,120,,
2023-06-09T23:57:27Z,119,120,120,,
