timestamp,temperature,rh,original-timestamp
2023-01-18T12:09:00Z,13,39,18/01/2023 12:09
2023-01-18T12:14:00Z,14,40,18/01/2023 12:14
2023-01-18T12:19:00Z,14,37,18/01/2023 12:19
2023-01-18T12:24:00Z,13,38,18/01/2023 12:24
2023-01-18T12:29:00Z,13,38,18/01/2023 12:29
2023-01-18T12:34:00Z,13,39,18/01/2023 12:34
2023-01-18T12:39:00Z,13,39,18/01/2023 12:39
2023-01-18T12:44:00Z,13,39,18/01/2023 12:44
2023-01-18T12:49:00Z,13,39,18/01/2023 12:49
2023-01-18T12:54:00Z,15,48,18/01/2023 12:54
2023-01-18T12:59:00Z,15,37,18/01/2023 12:59
2023-01-18T13:04:00Z,22,66,18/01/2023 13:04
2023-01-18T13:09:00Z,20,29,18/01/2023 13:09
2023-01-18T13:14:00Z,13,38,18/01/2023 13:14
2023-01-18T13:19:00Z,10,46,18/01/2023 13:19
2023-01-18T13:24:00Z,9,49,18/01/2023 13:24
2023-01-18T13:29:00Z,8,51,18/01/2023 13:29
2023-01-18T13:34:00Z,8,52,18/01/2023 13:34
2023-01-18T13:39:00Z,8,52,18/01/2023 13:39
2023-01-18T13:44:00Z,8,53,18/01/2023 13:44
2023-01-18T13:49:00Z,8,53,18/01/2023 13:49
2023-01-18T13:54:00Z,8,53,18/01/2023 13:54
2023-01-18T13:59:00Z,8,53,18/01/2023 13:59
2023-01-18T14:04:00Z,8,53,18/01/2023 14:04
2023-01-18T14:09:00Z,8,53,18/01/2023 14:09
2023-01-18T14:14:00Z,8,52,18/01/2023 14:14
2023-01-18T14:19:00Z,8,52,18/01/2023 14:19
2023-01-18T14:24:00Z,8,52,18/01/2023 14:24
2023-01-18T14:29:00Z,8,52,18/01/2023 14:29
2023-01-18T14:34:00Z,8,52,18/01/2023 14:34
2023-01-18T14:39:00Z,8,52,18/01/2023 14:39
2023-01-18T14:44:00Z,8,52,18/01/2023 14:44
2023-01-18T14:49:00Z,8,52,18/01/2023 14:49
2023-01-18T14:54:00Z,8,52,18/01/2023 14:54
2023-01-18T14:59:00Z,8,52,18/01/2023 14:59
2023-01-18T15:04:00Z,8,52,18/01/2023 15:04
2023-01-18T15:09:00Z,9,51,18/01/2023 15:09
2023-01-18T15:14:00Z,9,51,18/01/2023 15:14
2023-01-18T15:19:00Z,8,51,18/01/2023 15:19
2023-01-18T15:24:00Z,8,52,18/01/2023 15:24
2023-01-18T15:29:00Z,8,52,18/01/2023 15:29
2023-01-18T15:34:00Z,8,52,18/01/2023 15:34
2023-01-18T15:39:00Z,8,52,18/01/2023 15:39
2023-01-18T15:44:00Z,8,52,18/01/2023 15:44
2023-01-18T15:49:00Z,8,53,18/01/2023 15:49
2023-01-18T15:54:00Z,8,53,18/01/2023 15:54
2023-01-18T15:59:00Z,8,53,18/01/2023 15:59
2023-01-18T16:04:00Z,8,53,18/01/2023 16:04
2023-01-18T16:09:00Z,8,53,18/01/2023 16:09
2023-01-18T16:14:00Z,8,53,18/01/2023 16:14
2023-01-18T16:19:00Z,8,53,18/01/2023 16:19
2023-01-18T16:24:00Z,8,53,18/01/2023 16:24
2023-01-18T16:29:00Z,8,53,18/01/2023 16:29
2023-01-18T16:34:00Z,8,53,18/01/2023 16:34
2023-01-18T16:39:00Z,8,53,18/01/2023 16:39
2023-01-18T16:44:00Z,8,53,18/01/2023 16:44
2023-01-18T16:49:00Z,8,53,18/01/2023 16:49
2023-01-18T16:54:00Z,8,53,18/01/2023 16:54
2023-01-18T16:59:00Z,8,53,18/01/2023 16:59
2023-01-18T17:04:00Z,8,53,18/01/2023 17:04
2023-01-18T17:09:00Z,8,53,18/01/2023 17:09
2023-01-18T17:14:00Z,8,53,18/01/2023 17:14
2023-01-18T17:19:00Z,8,53,18/01/2023 17:19
2023-01-18T17:24:00Z,8,53,18/01/2023 17:24
2023-01-18T17:29:00Z,8,54,18/01/2023 17:29
2023-01-18T17:34:00Z,8,54,18/01/2023 17:34
2023-01-18T17:39:00Z,8,54,18/01/2023 17:39
2023-01-18T17:44:00Z,8,53,18/01/2023 17:44
2023-01-18T17:49:00Z,8,53,18/01/2023 17:49
2023-01-18T17:54:00Z,8,53,18/01/2023 17:54
2023-01-18T17:59:00Z,8,53,18/01/2023 17:59
2023-01-18T18:04:00Z,8,53,18/01/2023 18:04
2023-01-18T18:09:00Z,8,53,18/01/2023 18:09
2023-01-18T18:14:00Z,8,53,18/01/2023 18:14
2023-01-18T18:19:00Z,8,53,18/01/2023 18:19
2023-01-18T18:24:00Z,8,53,18/01/2023 18:24
2023-01-18T18:29:00Z,8,53,18/01/2023 18:29
