venue_id,sensor_id,sensor_MAC,channel_id
9,9,3083988F33A,1844756
34t,34,unknown,1980484
36,36,3083988F914A,2036338
37,37,3083988F8E1A,2046735
40,40,unknown,2046738
44,,unknown,2183060
45,45,unknown,2204001
47,unknown,unknown,2209676
61,,unknown,2233691
66,66,unknown,2250644
68,68,483FDA6A1080,2322748

