timestamp,temperature,rh
2022-12-13T20:18:32Z,6,70
2022-12-13T20:20:25Z,2,75
2022-12-13T20:23:31Z,6,69
2022-12-13T20:25:25Z,2,75
2022-12-13T20:28:30Z,5,70
2022-12-13T20:30:24Z,2,75
2022-12-13T20:33:30Z,5,70
2022-12-13T20:35:23Z,2,75
2022-12-13T20:38:29Z,5,70
2022-12-13T20:40:23Z,2,75
2022-12-13T20:43:28Z,5,70
2022-12-13T20:45:22Z,2,75
2022-12-13T20:48:27Z,5,70
2022-12-13T20:50:21Z,2,75
2022-12-13T20:53:26Z,5,71
2022-12-13T20:55:21Z,2,75
2022-12-13T20:58:26Z,5,71
2022-12-13T21:00:20Z,2,75
2022-12-13T21:03:25Z,5,71
2022-12-13T21:05:19Z,2,75
2022-12-13T21:08:24Z,5,71
2022-12-13T21:10:19Z,2,75
2022-12-13T21:13:23Z,5,71
2022-12-13T21:15:18Z,2,75
2022-12-13T21:18:22Z,5,70
2022-12-13T21:20:17Z,2,75
2022-12-13T21:23:22Z,5,70
2022-12-13T21:25:17Z,2,75
2022-12-13T21:28:21Z,5,70
2022-12-13T21:30:16Z,2,75
2022-12-13T21:33:21Z,5,70
2022-12-13T21:35:15Z,2,75
2022-12-13T21:38:20Z,5,71
2022-12-13T21:40:17Z,2,75
2022-12-13T21:43:19Z,5,70
2022-12-13T21:45:14Z,2,75
2022-12-13T21:48:18Z,5,70
2022-12-13T21:50:13Z,2,75
2022-12-13T21:53:18Z,5,70
2022-12-13T21:55:12Z,2,75
2022-12-13T21:58:17Z,5,70
2022-12-13T22:00:12Z,2,75
2022-12-13T22:03:16Z,5,70
2022-12-13T22:05:11Z,2,75
2022-12-13T22:08:15Z,5,70
2022-12-13T22:10:11Z,2,76
2022-12-13T22:13:14Z,5,71
2022-12-13T22:15:10Z,2,76
2022-12-13T22:18:14Z,5,70
2022-12-13T22:20:09Z,2,76
2022-12-13T22:23:13Z,5,71
2022-12-13T22:25:08Z,2,75
2022-12-13T22:28:12Z,5,71
2022-12-13T22:30:08Z,2,76
2022-12-13T22:33:12Z,5,71
2022-12-13T22:35:08Z,2,76
2022-12-13T22:38:11Z,5,71
2022-12-13T22:40:07Z,2,76
2022-12-13T22:43:10Z,5,70
2022-12-13T22:45:06Z,2,76
2022-12-13T22:48:10Z,4,71
2022-12-13T22:50:06Z,2,76
2022-12-13T22:53:09Z,5,70
2022-12-13T22:55:05Z,2,76
2022-12-13T22:58:09Z,5,71
2022-12-13T23:00:04Z,2,76
2022-12-13T23:03:08Z,4,71
2022-12-13T23:05:03Z,2,76
2022-12-13T23:08:07Z,5,71
2022-12-13T23:10:03Z,2,76
2022-12-13T23:13:07Z,4,71
2022-12-13T23:15:02Z,2,76
2022-12-13T23:18:06Z,4,70
2022-12-13T23:20:02Z,2,76
2022-12-13T23:23:05Z,4,71
2022-12-13T23:25:01Z,2,76
2022-12-13T23:28:05Z,5,71
2022-12-13T23:30:00Z,2,76
2022-12-13T23:33:04Z,4,71
2022-12-13T23:34:59Z,2,76
2022-12-13T23:38:03Z,5,71
2022-12-13T23:39:59Z,2,76
2022-12-13T23:43:03Z,4,71
2022-12-13T23:44:58Z,2,76
2022-12-13T23:48:02Z,4,71
2022-12-13T23:49:57Z,2,76
2022-12-13T23:53:03Z,4,71
2022-12-13T23:54:57Z,2,76
2022-12-13T23:58:01Z,4,71
2022-12-13T23:59:56Z,2,77
2022-12-14T00:03:00Z,4,71
2022-12-14T00:04:55Z,2,76
2022-12-14T00:08:00Z,4,71
2022-12-14T00:09:55Z,1,77
2022-12-14T00:12:59Z,4,71
2022-12-14T00:14:54Z,2,77
2022-12-14T00:17:58Z,4,71
2022-12-14T00:19:54Z,2,77
2022-12-14T00:22:58Z,4,71
2022-12-14T00:24:53Z,1,77
2022-12-14T00:27:57Z,4,71
2022-12-14T00:29:52Z,2,76
2022-12-14T00:32:56Z,4,71
2022-12-14T00:37:55Z,4,71
2022-12-14T00:39:51Z,2,77
2022-12-14T00:42:55Z,4,71
2022-12-14T00:44:51Z,1,77
2022-12-14T00:47:54Z,4,71
2022-12-14T00:49:50Z,1,77
2022-12-14T00:52:53Z,4,71
2022-12-14T00:54:49Z,2,77
2022-12-14T00:57:53Z,4,71
